tradition,ULTIMATE,SUBSTRATE,AWARENESS,WORLD,SELF,RECOGNITION,NONSEP,total_passages
advaita,2,0,0,1,1,1,0,10
analytic,0,0,0,0,0,0,0,6
analytic_idealism,0,0,3,2,0,0,0,4
catholic_scholastic,6,0,0,1,0,1,0,8
christian_mystical,8,0,0,0,0,0,0,10
daoism,1,0,0,2,0,1,0,6
dzogchen,0,1,3,2,0,1,0,7
humean,0,0,0,1,0,0,0,6
iit,0,2,4,0,0,0,0,4
implicate_order,0,2,1,1,0,0,0,5
information_physics,0,1,0,5,0,0,0,6
interface_theory,0,0,1,2,0,0,0,4
kabbalah,6,0,0,1,0,0,0,6
kantian,1,1,0,1,0,0,0,8
mahayana,0,2,2,0,0,0,0,6
mathematical_universe,2,0,0,2,0,0,0,5
neoplatonism,5,0,0,0,0,1,0,6
predictive_processing,0,0,0,0,2,0,0,5
process_philosophy,0,0,0,2,0,0,0,5
relational_qm,0,1,0,2,0,0,0,5
simulation_theory,1,0,2,5,0,0,0,6
sufi,4,0,0,2,0,1,0,7
theravada,0,0,3,0,0,3,0,8
