,advaita,analytic,catholic_scholastic,christian_mystical,daoism,humean,kantian,reformed_theology,spinozist,sufi,theravada
advaita,0.5849,0.2945,0.3311,0.3736,0.3949,0.2878,0.3128,0.3182,0.3497,0.3976,0.4768
analytic,0.2945,0.4981,0.3145,0.3510,0.3196,0.4319,0.4379,0.2816,0.4267,0.2599,0.2836
catholic_scholastic,0.3311,0.3145,0.4339,0.3603,0.3164,0.3575,0.3361,0.3768,0.4018,0.3189,0.3047
christian_mystical,0.3736,0.3510,0.3603,0.4766,0.3618,0.3529,0.3771,0.3490,0.3860,0.3561,0.3452
daoism,0.3949,0.3196,0.3164,0.3618,0.6042,0.3485,0.3364,0.3045,0.3772,0.3708,0.4580
humean,0.2878,0.4319,0.3575,0.3529,0.3485,0.5327,0.4552,0.3677,0.4892,0.2897,0.3211
kantian,0.3128,0.4379,0.3361,0.3771,0.3364,0.4552,0.5425,0.3386,0.4742,0.2629,0.3139
reformed_theology,0.3182,0.2816,0.3768,0.3490,0.3045,0.3677,0.3386,0.4721,0.3874,0.3062,0.3289
spinozist,0.3497,0.4267,0.4018,0.3860,0.3772,0.4892,0.4742,0.3874,0.5805,0.3157,0.3858
sufi,0.3976,0.2599,0.3189,0.3561,0.3708,0.2897,0.2629,0.3062,0.3157,0.5128,0.3915
theravada,0.4768,0.2836,0.3047,0.3452,0.4580,0.3211,0.3139,0.3289,0.3858,0.3915,0.6598
