,advaita,analytic,catholic_scholastic,christian_mystical,daoism,humean,kantian,reformed_theology,spinozist,sufi,theravada
advaita,0.5848,0.2912,0.3417,0.3835,0.3978,0.2843,0.3110,0.3338,0.3453,0.4009,0.4732
analytic,0.2912,0.5009,0.3206,0.3556,0.3257,0.4349,0.4383,0.2867,0.4312,0.2600,0.2829
catholic_scholastic,0.3417,0.3206,0.4492,0.3777,0.3346,0.3624,0.3436,0.3955,0.4078,0.3317,0.3142
christian_mystical,0.3835,0.3556,0.3777,0.4876,0.3771,0.3560,0.3828,0.3727,0.3911,0.3667,0.3507
daoism,0.3978,0.3257,0.3346,0.3771,0.5980,0.3502,0.3408,0.3285,0.3848,0.3738,0.4557
humean,0.2843,0.4349,0.3624,0.3560,0.3502,0.5355,0.4558,0.3669,0.4931,0.2873,0.3228
kantian,0.3110,0.4383,0.3436,0.3828,0.3408,0.4558,0.5397,0.3437,0.4769,0.2641,0.3147
reformed_theology,0.3338,0.2867,0.3955,0.3727,0.3285,0.3669,0.3437,0.4901,0.3852,0.3247,0.3366
spinozist,0.3453,0.4312,0.4078,0.3911,0.3848,0.4931,0.4769,0.3852,0.5818,0.3123,0.3842
sufi,0.4009,0.2600,0.3317,0.3667,0.3738,0.2873,0.2641,0.3247,0.3123,0.5138,0.3876
theravada,0.4732,0.2829,0.3142,0.3507,0.4557,0.3228,0.3147,0.3366,0.3842,0.3876,0.6577
