,advaita,analytic,analytic_idealism,catholic_scholastic,christian_mystical,daoism,dzogchen,humean,iit,implicate_order,information_physics,interface_theory,kabbalah,kantian,mahayana,mathematical_universe,neoplatonism,predictive_processing,process_philosophy,relational_qm,simulation_theory,sufi,theravada
advaita,0.3993,0.2202,0.3474,0.2810,0.3575,0.3316,0.3825,0.2470,0.2840,0.3521,0.2776,0.2967,0.3769,0.2730,0.3487,0.3259,0.3583,0.2596,0.3147,0.3086,0.2838,0.4124,0.3531
analytic,0.2202,0.3559,0.2514,0.2616,0.2135,0.2020,0.2285,0.2946,0.2495,0.2484,0.2295,0.2499,0.2039,0.3070,0.2178,0.2976,0.2004,0.2235,0.2807,0.2444,0.2546,0.1954,0.2027
analytic_idealism,0.3474,0.2514,0.5431,0.3039,0.3209,0.2878,0.3963,0.2847,0.5216,0.4636,0.4410,0.4703,0.3607,0.3113,0.3324,0.4497,0.2958,0.3457,0.4107,0.3960,0.4929,0.3508,0.3575
catholic_scholastic,0.2810,0.2616,0.3039,0.3777,0.3533,0.2335,0.2710,0.2536,0.2822,0.2741,0.2577,0.2950,0.3672,0.2983,0.2457,0.3125,0.3207,0.2208,0.2891,0.2633,0.3022,0.3151,0.2500
christian_mystical,0.3575,0.2135,0.3209,0.3533,0.4601,0.3113,0.3328,0.2373,0.2760,0.3004,0.2740,0.2793,0.4537,0.2752,0.2906,0.3132,0.4088,0.2455,0.2834,0.2688,0.2812,0.4230,0.2865
daoism,0.3316,0.2020,0.2878,0.2335,0.3113,0.3451,0.3452,0.2137,0.2318,0.2997,0.2546,0.2574,0.3312,0.2342,0.3176,0.2751,0.3004,0.2017,0.2773,0.2571,0.2536,0.3271,0.2911
dzogchen,0.3825,0.2285,0.3963,0.2710,0.3328,0.3452,0.4472,0.2522,0.3495,0.3833,0.3052,0.3259,0.3410,0.2780,0.3954,0.3279,0.3194,0.2506,0.3331,0.3117,0.3188,0.3607,0.4068
humean,0.2470,0.2946,0.2847,0.2536,0.2373,0.2137,0.2522,0.3419,0.2603,0.2687,0.2544,0.2868,0.2195,0.3171,0.2336,0.2855,0.2136,0.2642,0.3021,0.2887,0.2762,0.2312,0.2497
iit,0.2840,0.2495,0.5216,0.2822,0.2760,0.2318,0.3495,0.2603,0.5841,0.4161,0.3986,0.4120,0.2893,0.2926,0.3055,0.4278,0.2447,0.3545,0.3799,0.3901,0.4579,0.2862,0.3367
implicate_order,0.3521,0.2484,0.4636,0.2741,0.3004,0.2997,0.3833,0.2687,0.4161,0.4219,0.3910,0.3851,0.3458,0.2960,0.3418,0.4001,0.2816,0.3261,0.4074,0.4002,0.3906,0.3240,0.3435
information_physics,0.2776,0.2295,0.4410,0.2577,0.2740,0.2546,0.3052,0.2544,0.3986,0.3910,0.4887,0.4265,0.3417,0.2672,0.2685,0.4646,0.2282,0.3343,0.3929,0.4096,0.4922,0.2988,0.2549
interface_theory,0.2967,0.2499,0.4703,0.2950,0.2793,0.2574,0.3259,0.2868,0.4120,0.3851,0.4265,0.5502,0.3254,0.2993,0.3001,0.4483,0.2475,0.3807,0.4046,0.4104,0.4977,0.3004,0.2837
kabbalah,0.3769,0.2039,0.3607,0.3672,0.4537,0.3312,0.3410,0.2195,0.2893,0.3458,0.3417,0.3254,0.5449,0.2658,0.3233,0.4028,0.3834,0.2483,0.3194,0.3152,0.3457,0.4723,0.2905
kantian,0.2730,0.3070,0.3113,0.2983,0.2752,0.2342,0.2780,0.3171,0.2926,0.2960,0.2672,0.2993,0.2658,0.3698,0.2580,0.3101,0.2401,0.2448,0.3041,0.2928,0.2808,0.2552,0.2476
mahayana,0.3487,0.2178,0.3324,0.2457,0.2906,0.3176,0.3954,0.2336,0.3055,0.3418,0.2685,0.3001,0.3233,0.2580,0.3811,0.3236,0.2707,0.2268,0.3174,0.3157,0.2787,0.3220,0.3919
mathematical_universe,0.3259,0.2976,0.4497,0.3125,0.3132,0.2751,0.3279,0.2855,0.4278,0.4001,0.4646,0.4483,0.4028,0.3101,0.3236,0.5893,0.2677,0.3445,0.4287,0.4476,0.5005,0.3440,0.2722
neoplatonism,0.3583,0.2004,0.2958,0.3207,0.4088,0.3004,0.3194,0.2136,0.2447,0.2816,0.2282,0.2475,0.3834,0.2401,0.2707,0.2677,0.3887,0.2047,0.2541,0.2349,0.2417,0.3931,0.2784
predictive_processing,0.2596,0.2235,0.3457,0.2208,0.2455,0.2017,0.2506,0.2642,0.3545,0.3261,0.3343,0.3807,0.2483,0.2448,0.2268,0.3445,0.2047,0.4301,0.3173,0.3367,0.3527,0.2307,0.2352
process_philosophy,0.3147,0.2807,0.4107,0.2891,0.2834,0.2773,0.3331,0.3021,0.3799,0.4074,0.3929,0.4046,0.3194,0.3041,0.3174,0.4287,0.2541,0.3173,0.4191,0.4261,0.4037,0.2983,0.3060
relational_qm,0.3086,0.2444,0.3960,0.2633,0.2688,0.2571,0.3117,0.2887,0.3901,0.4002,0.4096,0.4104,0.3152,0.2928,0.3157,0.4476,0.2349,0.3367,0.4261,0.5084,0.4019,0.2864,0.3015
simulation_theory,0.2838,0.2546,0.4929,0.3022,0.2812,0.2536,0.3188,0.2762,0.4579,0.3906,0.4922,0.4977,0.3457,0.2808,0.2787,0.5005,0.2417,0.3527,0.4037,0.4019,0.5801,0.3001,0.2761
sufi,0.4124,0.1954,0.3508,0.3151,0.4230,0.3271,0.3607,0.2312,0.2862,0.3240,0.2988,0.3004,0.4723,0.2552,0.3220,0.3440,0.3931,0.2307,0.2983,0.2864,0.3001,0.4740,0.3138
theravada,0.3531,0.2027,0.3575,0.2500,0.2865,0.2911,0.4068,0.2497,0.3367,0.3435,0.2549,0.2837,0.2905,0.2476,0.3919,0.2722,0.2784,0.2352,0.3060,0.3015,0.2761,0.3138,0.4456
