,advaita,analytic,analytic_idealism,catholic_scholastic,christian_mystical,daoism,dzogchen,humean,iit,implicate_order,information_physics,interface_theory,kabbalah,kantian,mahayana,mathematical_universe,neoplatonism,predictive_processing,process_philosophy,relational_qm,simulation_theory,sufi,theravada
advaita,0.4196,0.2222,0.3621,0.2393,0.3210,0.3282,0.3874,0.2475,0.2862,0.3447,0.2605,0.2951,0.3639,0.2750,0.3590,0.3022,0.3510,0.2418,0.3152,0.3048,0.2446,0.4065,0.3538
analytic,0.2222,0.3558,0.2511,0.2558,0.2062,0.2148,0.2204,0.2964,0.2491,0.2532,0.2324,0.2583,0.2001,0.3120,0.2285,0.3149,0.1964,0.2224,0.2857,0.2391,0.2278,0.2036,0.1984
analytic_idealism,0.3621,0.2511,0.5723,0.2585,0.2914,0.2858,0.3703,0.2846,0.4958,0.4721,0.4399,0.5046,0.3493,0.3231,0.3391,0.4542,0.2917,0.3606,0.4219,0.4147,0.4441,0.3390,0.3389
catholic_scholastic,0.2393,0.2558,0.2585,0.3651,0.2980,0.1878,0.2167,0.2389,0.2374,0.2357,0.2074,0.2639,0.2945,0.2895,0.2205,0.2571,0.2600,0.1873,0.2653,0.2315,0.2195,0.2658,0.2076
christian_mystical,0.3210,0.2062,0.2914,0.2980,0.3980,0.2686,0.2992,0.2269,0.2308,0.2717,0.2271,0.2517,0.3578,0.2687,0.2747,0.2513,0.3445,0.1983,0.2677,0.2468,0.1980,0.3761,0.2463
daoism,0.3282,0.2148,0.2858,0.1878,0.2686,0.3847,0.3482,0.2181,0.2190,0.2933,0.2243,0.2500,0.2848,0.2418,0.3393,0.2544,0.2780,0.1861,0.2790,0.2581,0.1919,0.3027,0.2903
dzogchen,0.3874,0.2204,0.3703,0.2167,0.2992,0.3482,0.4589,0.2437,0.2929,0.3640,0.2675,0.3164,0.3098,0.2732,0.3989,0.2956,0.3008,0.2487,0.3243,0.3104,0.2465,0.3383,0.3954
humean,0.2475,0.2964,0.2846,0.2389,0.2269,0.2181,0.2437,0.3434,0.2492,0.2643,0.2407,0.2893,0.2022,0.3235,0.2391,0.2822,0.2064,0.2651,0.3016,0.2825,0.2374,0.2241,0.2483
iit,0.2862,0.2491,0.4958,0.2374,0.2308,0.2190,0.2929,0.2492,0.6130,0.3986,0.3917,0.4110,0.2523,0.2873,0.2748,0.4002,0.2300,0.3491,0.3718,0.3675,0.4311,0.2542,0.2982
implicate_order,0.3447,0.2532,0.4721,0.2357,0.2717,0.2933,0.3640,0.2643,0.3986,0.4752,0.3967,0.3904,0.3352,0.2919,0.3295,0.3992,0.2704,0.3370,0.4145,0.4061,0.3550,0.3074,0.3117
information_physics,0.2605,0.2324,0.4399,0.2074,0.2271,0.2243,0.2675,0.2407,0.3917,0.3967,0.4937,0.4192,0.3007,0.2578,0.2679,0.4684,0.2027,0.3421,0.3754,0.4272,0.4308,0.2605,0.2291
interface_theory,0.2951,0.2583,0.5046,0.2639,0.2517,0.2500,0.3164,0.2893,0.4110,0.3904,0.4192,0.5818,0.3029,0.3093,0.3157,0.4509,0.2371,0.3795,0.4076,0.4278,0.4547,0.2788,0.2885
kabbalah,0.3639,0.2001,0.3493,0.2945,0.3578,0.2848,0.3098,0.2022,0.2523,0.3352,0.3007,0.3029,0.4872,0.2666,0.3158,0.3338,0.3299,0.2104,0.3101,0.2966,0.2505,0.4207,0.2545
kantian,0.2750,0.3120,0.3231,0.2895,0.2687,0.2418,0.2732,0.3235,0.2873,0.2919,0.2578,0.3093,0.2666,0.3954,0.2656,0.3056,0.2354,0.2403,0.3106,0.2886,0.2373,0.2590,0.2498
mahayana,0.3590,0.2285,0.3391,0.2205,0.2747,0.3393,0.3989,0.2391,0.2748,0.3295,0.2679,0.3157,0.3158,0.2656,0.4149,0.3219,0.2638,0.2149,0.3325,0.3271,0.2514,0.3242,0.4056
mathematical_universe,0.3022,0.3149,0.4542,0.2571,0.2513,0.2544,0.2956,0.2822,0.4002,0.3992,0.4684,0.4509,0.3338,0.3056,0.3219,0.6751,0.2322,0.3264,0.4218,0.4416,0.4573,0.2975,0.2440
neoplatonism,0.3510,0.1964,0.2917,0.2600,0.3445,0.2780,0.3008,0.2064,0.2300,0.2704,0.2027,0.2371,0.3299,0.2354,0.2638,0.2322,0.3505,0.1800,0.2513,0.2287,0.1937,0.3601,0.2556
predictive_processing,0.2418,0.2224,0.3606,0.1873,0.1983,0.1861,0.2487,0.2651,0.3491,0.3370,0.3421,0.3795,0.2104,0.2403,0.2149,0.3264,0.1800,0.4286,0.3126,0.3271,0.3531,0.2014,0.2288
process_philosophy,0.3152,0.2857,0.4219,0.2653,0.2677,0.2790,0.3243,0.3016,0.3718,0.4145,0.3754,0.4076,0.3101,0.3106,0.3325,0.4218,0.2513,0.3126,0.4291,0.4202,0.3456,0.2909,0.3021
relational_qm,0.3048,0.2391,0.4147,0.2315,0.2468,0.2581,0.3104,0.2825,0.3675,0.4061,0.4272,0.4278,0.2966,0.2886,0.3271,0.4416,0.2287,0.3271,0.4202,0.5112,0.3632,0.2804,0.2983
simulation_theory,0.2446,0.2278,0.4441,0.2195,0.1980,0.1919,0.2465,0.2374,0.4311,0.3550,0.4308,0.4547,0.2505,0.2373,0.2514,0.4573,0.1937,0.3531,0.3456,0.3632,0.5974,0.2218,0.2360
sufi,0.4065,0.2036,0.3390,0.2658,0.3761,0.3027,0.3383,0.2241,0.2542,0.3074,0.2605,0.2788,0.4207,0.2590,0.3242,0.2975,0.3601,0.2014,0.2909,0.2804,0.2218,0.4663,0.2893
theravada,0.3538,0.1984,0.3389,0.2076,0.2463,0.2903,0.3954,0.2483,0.2982,0.3117,0.2291,0.2885,0.2545,0.2498,0.4056,0.2440,0.2556,0.2288,0.3021,0.2983,0.2360,0.2893,0.4509
