,advaita,analytic,analytic_idealism,catholic_scholastic,christian_mystical,daoism,dzogchen,humean,information_physics,interface_theory,kabbalah,kantian,mathematical_universe,neoplatonism,simulation_theory,sufi,theravada
advaita,0.4065,0.2273,0.3655,0.2402,0.3154,0.3235,0.3916,0.2506,0.2640,0.2992,0.3644,0.2791,0.3081,0.3402,0.2484,0.4055,0.3516
analytic,0.2273,0.3558,0.2510,0.2558,0.2058,0.2144,0.2253,0.2964,0.2324,0.2583,0.2001,0.3119,0.3149,0.1964,0.2278,0.2106,0.1983
analytic_idealism,0.3655,0.2510,0.5722,0.2585,0.2889,0.2856,0.3810,0.2845,0.4398,0.5045,0.3493,0.3230,0.4541,0.2917,0.4441,0.3497,0.3389
catholic_scholastic,0.2402,0.2558,0.2585,0.3651,0.2983,0.1873,0.2183,0.2389,0.2074,0.2639,0.2945,0.2895,0.2572,0.2601,0.2195,0.2716,0.2075
christian_mystical,0.3154,0.2058,0.2889,0.2983,0.3757,0.2664,0.3004,0.2271,0.2246,0.2509,0.3498,0.2688,0.2565,0.3354,0.1988,0.3773,0.2476
daoism,0.3235,0.2144,0.2856,0.1873,0.2664,0.3842,0.3507,0.2181,0.2240,0.2497,0.2843,0.2412,0.2543,0.2776,0.1917,0.3013,0.2901
dzogchen,0.3916,0.2253,0.3810,0.2183,0.3004,0.3507,0.4718,0.2541,0.2735,0.3254,0.3169,0.2846,0.3033,0.3067,0.2546,0.3472,0.4043
humean,0.2506,0.2964,0.2845,0.2389,0.2271,0.2181,0.2541,0.3434,0.2407,0.2893,0.2023,0.3234,0.2822,0.2064,0.2374,0.2264,0.2482
information_physics,0.2640,0.2324,0.4398,0.2074,0.2246,0.2240,0.2735,0.2407,0.4938,0.4192,0.3008,0.2578,0.4685,0.2027,0.4308,0.2695,0.2290
interface_theory,0.2992,0.2583,0.5045,0.2639,0.2509,0.2497,0.3254,0.2893,0.4192,0.5818,0.3030,0.3091,0.4509,0.2371,0.4547,0.2877,0.2885
kabbalah,0.3644,0.2001,0.3493,0.2945,0.3498,0.2843,0.3169,0.2023,0.3008,0.3030,0.4873,0.2666,0.3338,0.3299,0.2506,0.4326,0.2544
kantian,0.2791,0.3119,0.3230,0.2895,0.2688,0.2412,0.2846,0.3234,0.2578,0.3091,0.2666,0.3954,0.3055,0.2354,0.2372,0.2693,0.2497
mathematical_universe,0.3081,0.3149,0.4541,0.2572,0.2565,0.2543,0.3033,0.2822,0.4685,0.4509,0.3338,0.3055,0.6751,0.2322,0.4573,0.3088,0.2438
neoplatonism,0.3402,0.1964,0.2917,0.2601,0.3354,0.2776,0.3067,0.2064,0.2027,0.2371,0.3299,0.2354,0.2322,0.3505,0.1937,0.3609,0.2556
simulation_theory,0.2484,0.2278,0.4441,0.2195,0.1988,0.1917,0.2546,0.2374,0.4308,0.4547,0.2506,0.2372,0.4573,0.1937,0.5974,0.2285,0.2359
sufi,0.4055,0.2106,0.3497,0.2716,0.3773,0.3013,0.3472,0.2264,0.2695,0.2877,0.4326,0.2693,0.3088,0.3609,0.2285,0.4890,0.2792
theravada,0.3516,0.1983,0.3389,0.2075,0.2476,0.2901,0.4043,0.2482,0.2290,0.2885,0.2544,0.2497,0.2438,0.2556,0.2359,0.2792,0.4510
